id,reactant_smiles,product_smiles,likelihood
65,C.Cl.N,C.C.C.Cl.Cl.N.N.N.O,0.6
66,C.Cl,Br.Br.C.Cl.Cl.F.F.N.O.O,0.63
67,C.C.N.O,C.C.C.F.F.N.N,0.99
68,Br.C.C.C.F.F.N.O,C.C.C.C.C.F.F.F.O,0.87
69,C.C.F,Br.Br.C.C.C.Cl.N.O.O,0.77
70,Br.C.C.Cl.Cl.O.O.O.O,C.C.Cl.F.F.F.N.O.O,0.73
71,Br.C.F.N.N.O,Br.C.C.C.F.F.F.N.O.O,0.75
72,Br.C.C.C.C.Cl.F.N.N,Br.C.C.C.Cl.O,0.57
73,Br.Br.Br.C.C.C.F.F.F.O,C.F,0.89
74,Br.Br.C.C.C.C.N,C.C.N,0.5
75,Br.C.N.N.O,Br.C,0.75
76,C.Cl.N.N,Br.Br.C,0.84
77,C.O,C.C.C.F.N.O,0.57
78,C.C.F.N.O.O,Br.C.F.N.O.O,0.64
79,Br.Br.C.C.C.O.O,C.C.Cl.N.O.O,0.82
80,Br.C.Cl.N.N.N,Br.Br.C.C.Cl.Cl.F.F.N.O,0.76
81,C.C.O,C.Cl.N,0.58
82,Br.Br.Br.C.Cl.Cl.F.N.O.O,Br.Br.Br.C.Cl.F.F.N.N.O,0.75
83,Br.C,C.C.C.F.F.N.O.O,0.7
84,Br.Br.Br.C.C.C.C.Cl.F.N,C.C.F.N.N,0.8
85,Br.C.C.Cl.O,Br.C.Cl.F.N,0.97
86,Br.C.N.N.N.O,C.C.F,0.75
87,Br.C.C.C.Cl.N.N.N,C.C.Cl.Cl.F.O.O,0.54
88,Br.C.F.F.F,C.C.Cl.Cl.Cl.N.N.N,0.99
89,Br.C.Cl.Cl.N.N.N.O.O.O,C.C.C.Cl,0.53
90,C.C,C.C.Cl.N,0.73
91,Br.C.Cl,Br.C.Cl.N.O,0.92
92,C.C.Cl,Br.C.C.Cl.F.N,0.84
93,Br.Br.C.C.Cl.N.N.O,Br.C.C.C.C.F.N.O.O,0.61
94,Br.Br.C.C.Cl.F.N.O.O.O,Br.C.C.C.C.Cl.F.N.N,0.83
95,Br.C.C.C.N.O,Br.C.O,0.87
96,Br.Br.C.Cl.F.F.O.O.O,Br.C.C.Cl.Cl.O.O,0.63
97,Br.C.C.O,C.C.F,0.68
98,C.Cl.Cl.Cl.Cl.N.N.O,C.F,0.64
99,Br.C.F.F,Br.C.C.Cl.N,0.68
100,Br.C.C.C.Cl.F.O.O.O,C.C.Cl.Cl.F.N.O.O.O,0.92
101,Br.Br.C.Cl.Cl.N.O.O.O,Br.C.C.C.C.F.N.N.N,0.69
102,C.C.C.Cl.F.N,Br.C.Cl.N,0.91
103,Br.Br.C.Cl.Cl.Cl,C.F.N,0.54
104,Br.C.C.F.N.N,C.C.Cl.Cl.Cl,0.59
105,Br.C.C.C.Cl.Cl.Cl.F,Br.Br.C,0.8
106,C.O,Br.C.F.F.N.O,0.71
107,Br.C.Cl.F.F.N.N.O.O,Br.Br.Br.C.C.Cl.N.N.N.O,0.85
108,Br.Br.C.C.C.Cl.Cl.Cl.F.N,C.C.Cl.F,0.56
109,C.C.O,Br.Br.C.Cl.Cl.N.O.O,0.94
110,Br.Br.C.Cl,Br.C.C.Cl.Cl.F,0.6
111,Br.C.C.C.Cl.F.F.N,Br.Br.C.C.C.Cl.Cl.F.O,0.56
112,C.C.Cl.Cl.F.F.F.N,Br.C.F,0.73
113,Br.Br.C.C.Cl.Cl.N,Br.C.C.Cl.O,0.99
114,Br.Br.Br.C.C.C.Cl.F.O.O,C.C.Cl.F.O.O,0.74
115,C.C.Cl.Cl.F.F,C.F.N.N.N.O,0.71
116,Br.C.C.C.C.Cl.F.F.O.O,C.Cl.Cl.Cl.F.N.O,0.82
117,C.Cl.N,Br.C.C.Cl.F.F.O.O,0.84
118,Br.C.C.C.C.Cl.N,Br.Br.C.F.F.O,0.65
119,C.F.O,Br.Br.C.Cl.F.F.F.N.N.O,0.71
120,Br.C.C.Cl.Cl.N.N.O,C.C.F,0.97
121,C.C.C.Cl.F.N.O.O,C.Cl.Cl.Cl.F.N.N.N.O,0.78
122,Br.Br.C.C.F.N.N.O,C.Cl.F,0.63
123,Br.C.C.C.N.N.O.O,Br.C.Cl.F.F.O.O.O,0.78
124,Br.C.Cl.Cl.N.O,Br.Br.Br.C.Cl.Cl.Cl.N.O.O,0.94
125,C.F.O.O,C.F.N.N.O.O,0.66
126,Br.C.C.N,Br.C.Cl.N.N.O,0.52
127,Br.C.Cl.Cl.F.F.N.N.O,Br.Br.Br.Br.C.C.C.F.O.O,0.99
128,C.N.O,C.C.F.F.N.N.N.N,0.97
129,C.C.C.N,Br.C.C.C.O,0.76
130,C.C.Cl.Cl,Br.C.C.C.Cl.O,0.67
131,C.C.C.Cl.F.F.N.O.O,Br.C.C.F.F.F.N,0.93
132,Br.C.F.O,Br.C.C.Cl.Cl.F.F.O,0.51
133,Br.Br.C.Cl.O,C.C.N,0.57
134,Br.C.C.Cl.F.F.N,C.Cl,0.74
135,Br.Br.C.C.C.Cl.N.N,Br.Br.C.Cl.F.N.N.N.O,0.99
136,C.C.N.O.O,Br.C.C.C,0.96
137,Br.C.C.C.Cl.O,C.C.Cl.F.F.N,0.61
138,C.Cl.Cl.F.N.O.O.O.O.O,Br.Br.C.O.O,0.89
139,Br.C.Cl.Cl.F.F.F.N,Br.Br.C.Cl.F.N.N.N,0.91
140,Br.Br.C.C.Cl.Cl.Cl.F.O.O,Br.C.C.Cl.F.F.N.N.O,0.8
141,Br.Br.C.Cl.F.F.F.F.N.O,Br.C.Cl.Cl.N,0.81
142,C.Cl.F,C.Cl.N,0.68
143,Br.C.Cl,Br.Br.C.Cl.N.N.N.N.O,0.86
144,Br.Br.C.F.O,Br.C.Cl.N.N.N.O,0.93
145,C.C.O,Br.Br.Br.C.C.C.C.F.F,0.92
146,C.F.N.O,C.C.N.O,0.65
147,Br.C.C.F.F.F.F.N.N.O,C.Cl.Cl,0.78
148,Br.Br.C.C.N.O.O.O.O,Br.C.C.F.N.N.O.O,0.75
149,C.Cl.F,C.C.C.C.Cl.N.O,0.76
150,Br.C.C.F.N,Br.Br.C.C.C.C.C.Cl.Cl.O,0.8
151,Br.C.C.C.C.Cl.F.F.F.O,C.F,0.67
152,C.C.F.N.O,Br.C.Cl.N,0.79
153,Br.C.Cl.N.O,C.C.N.O,0.92
154,Br.C.C.C.N,Br.C.Cl,0.79
155,Br.C.C.Cl,C.C.C,0.57
156,C.C.C.F.F.F.F.N.O.O,C.F.N,0.66
157,Br.Br.C.Cl.F.O,Br.C.Cl.Cl.F.F.N.N,0.66
158,C.C.F.F.F.N.O,C.C.C.C.Cl,0.6
159,Br.Br.C.C.N.O,C.C.F,0.76
160,Br.C.Cl,C.Cl.F.N.N.N.O,0.84
161,Br.C.F.F,C.C.F.F.O,0.82
162,Br.C.F.N,C.C.Cl,0.9
163,Br.Br.Br.C.C.Cl.F.N,C.F,0.85
164,C.C.Cl.Cl,Br.Br.Br.C.C.Cl.Cl.N.N,0.92
165,C.C.F,Br.Br.C.C.Cl.Cl.N.N.O,0.73
166,C.C,Br.C.C.F,0.99
167,C.C.F,Br.C.C.F.N,0.7
168,C.F.O,Br.Br.Br.C.Cl.N.N,0.51
169,C.Cl.Cl.Cl.F.F.F.N.O.O,C.N,0.89
170,Br.Br.C.Cl.Cl.N.O,Br.C.Cl.Cl,0.99
171,C.F,C.C.C.Cl.F.N.O.O,0.78
172,C.C.C.Cl.Cl.F.F.F.F.N,C.C.Cl.O.O,0.74
173,Br.Br.C.C.O,C.C.C.C.C.F.N.O,0.57
174,C.O.O,Br.C.O,0.87
175,Br.Br.Br.C.C.F.N.N.O,Br.C.C.Cl.F.N.N.O.O,0.53
176,Br.C.Cl.Cl.F.F.N.N.N.N,C.C.Cl.O.O,0.59
177,Br.Br.C.C.Cl.F.F.F.F,C.C.C,0.92
178,Br.C.C.Cl.F.N.N,Br.C.C.C.C.O.O,0.61
179,Br.C,C.N,0.66
180,Br.Br.C.F.N.O,Br.Br.C.C.C.Cl.Cl.N.O.O,0.77
181,Br.C.C.F.F.F,Br.C.C.F.N.N.O,0.76
182,C.C.F,C.C.C.Cl.Cl.F,0.82
183,Br.Br.C.C.C.Cl.F.F.N.N,C.Cl,0.7
184,Br.C.C.C.F.F.N.O.O.O,C.F.O,0.51
185,Br.Br.C.F,Br.Br.C.Cl.Cl.N.N.N.O,0.87
186,Br.C.F.N,Br.C.Cl.N.O,0.66
187,Br.C.N.O.O,Br.Br.C.Cl.N.O.O,0.82
188,C.C.C.Cl.N.O.O.O.O,Br.Br.Br.C.C.C.N.N,0.52
189,C.C.Cl.F.N.N.O,Br.Br.C.C,0.98
190,Br.Br.Br.Br.C.C.C.F.N,Br.C.Cl.F.F.F.O,0.8
191,Br.C.C.O,Br.C.C.Cl.N.N.O,0.71
192,Br.Br.C.Cl.Cl.F.O,Br.C.C.C.Cl.Cl.Cl.F.O.O,0.96
193,Br.C.C.Cl.N.N.N.N.O,C.C.C.Cl.Cl.F.N.O.O,0.53
194,Br.C.C,C.O,0.82
195,Br.C.C.C.N,C.C,0.74
196,Br.Br.C.C.Cl.Cl.F.F.F.F,C.C.Cl.Cl.N.N.O,0.69
197,Br.Br.C.C.C.Cl.F.F.N.O,Br.C.C.Cl.Cl.F.F.F.N.N,0.95
198,Br.Br.Br.C.C.Cl.Cl.F,Br.C.Cl.N.N.O,0.54
199,C.F.N.N.N.O.O,Br.Br.C.C.F.F.N.N.N.O,0.87
200,Br.Br.C.Cl.F.F.N.N,Br.Br.C.C.N,0.73
201,Br.Br.C.C.Cl.Cl.N.O.O.O,Br.C.Cl.Cl.F.F.N.N.N.N,0.74
202,Br.Br.Br.C.Cl.Cl.F.N.O,Br.C.C.Cl.F.F.F,0.53
203,C.F.N.O,Br.C.Cl.N.O,0.63
204,Br.C.C.C.Cl.Cl.F.O,C.C.Cl.Cl.F.F.F.N,0.69
205,Br.C.C.C.Cl.Cl.Cl.F.N,Br.Br.C.N,0.68
206,C.F.N.N,C.C.C.Cl.Cl.F.F.N.O,0.75
207,Br.C,Br.Br.C.C.Cl.F.F.N,0.62
208,C.C.N,Br.C.F.N.O.O,0.62
209,C.C.Cl.N.O,Br.C.C.O,0.86
210,C.C.C.C.C.N.O.O.O,Br.Br.C.Cl.Cl.Cl.N,0.64
211,Br.C.Cl.F.O,Br.C.Cl.Cl.F.N.O,0.82
212,C.Cl.N,C.C.N.N.O.O,0.65
213,C.N.N.O,C.Cl,0.68
214,Br.C.Cl.Cl.Cl.Cl.O.O.O,C.N.N.O,0.62
215,C.Cl.Cl.F.F.N.N,C.C.C.F.N,0.65
216,C.C,C.F.O,0.83
217,Br.C.Cl.F.O,C.O,0.99
218,C.Cl.Cl.F,C.C.C.Cl.O.O,0.81
219,C.F.O.O.O,Br.Br.C.O.O,0.53
220,Br.Br.C.C.Cl.F.N.N.O.O,Br.Br.C.Cl.Cl.F.N.N,0.89
221,C.C.Cl.F.F.N,C.N.N,0.59
222,Br.C.C.N.N.N,Br.Br.C.C.Cl.F.F.N.O.O,0.8
223,C.Cl.F.N.N.N.O.O,Br.C.C.F.O,0.79
224,Br.C.F.N.O,Br.Br.C.C.C.Cl.Cl.F.O.O,0.96
225,C.Cl,C.C.C.C.Cl.Cl.F.O.O,0.64
226,C.Cl.Cl.F.N.N.O,C.Cl.N.N,0.87
227,C.N,C.C.Cl.Cl.F.F.F.F.F.N,0.97
228,Br.C.C.C.F.F.N.O.O,Br.C.Cl.Cl.Cl.F.O,0.54
229,Br.C.C.C.Cl.O.O.O,C.C.Cl.F,0.9
230,C.Cl.F,Br.Br.C.Cl.O,0.76
231,Br.Br.C.C.Cl.Cl.F.N.N.O,C.C.Cl.Cl.N,0.87
232,Br.Br.C.Cl.Cl.F.N.N,Br.C.C.Cl.N.O.O,0.88
233,Br.C,C.C.C.Cl.Cl.F.N.N.O.O,0.8
234,C.C.O,Br.C.C.C.C.Cl.Cl.F.N,0.91
235,Br.Br.C.C.F.F.N.N.O.O,C.F.O,0.88
236,Br.Br.C.C.N.N.N.N.O,Br.C.C.C.C.F.N.N.O,0.69
237,Br.C.C.C.Cl.Cl.F.O,C.C.O.O,0.84
238,C.Cl.F.F.N.N.O,Br.C.C.F.N.N.O.O,0.5
239,Br.C.Cl.Cl.Cl.F.F.O.O,C.C.C.Cl.N.O,0.67
240,Br.Br.C.C.Cl.F.F.N.O,C.Cl,0.69
241,Br.C.F,C.Cl,0.63
242,Br.Br.Br.Br.Br.C.Cl.F.O,C.N.N.N.O.O.O,0.85
243,Br.C.Cl.F.N.O,Br.C.C.F,0.97
244,C.C.C.C.N.N.N.O.O,Br.Br.C.F.N.O.O,0.94
245,C.F,C.O,0.62
246,C.N.N.O,C.N,0.92
247,Br.Br.C.C.C.Cl.F.F.N.N,Br.Br.Br.C.C.Cl.N.N.O.O,0.9
248,Br.C.C.C.F,C.Cl.F.F.F.N.N,0.81
249,C.C.Cl,Br.Br.Br.C.Cl.Cl.Cl.F.N.N,0.51
250,C.N,C.Cl.Cl.F.F,0.87
251,C.Cl.N.O,C.Cl.N.N.N.N.O,0.99
252,C.C.C.C.Cl.Cl.F.N.O,C.Cl.O,0.94
253,Br.C,C.C.Cl.Cl.F.F.O.O.O,0.56
254,Br.C.C.Cl.O,Br.C.Cl.F.O.O,0.95
255,Br.C.C.C.Cl.F.F.F.N,C.C.Cl.Cl.Cl.Cl.F.F.N.N,0.52
256,Br.C.O,Br.C.C.Cl.Cl.F.F.N.N,0.85
257,C.C.F.F.N,C.C.O.O,0.52
258,Br.Br.Br.C.C.C.O.O.O,C.F,0.63
259,C.Cl.F.F.N.N,Br.C.F.N.O,0.83
260,C.Cl.N.O.O,C.N,0.62
261,C.C.C.Cl.F.N,Br.Br.Br.C.C.C.F.F.O,0.57
262,Br.Br.C.C.C.Cl.Cl,Br.C.Cl.Cl.Cl.F.O.O,0.56
263,Br.C.Cl.Cl.F.N,C.C.F.F.O,0.66
264,Br.Br.Br.C.N.N,Br.C.C.Cl.O,0.85
265,Br.C.C.C.C.C.Cl.F.N,Br.Br.C.C.C.Cl.F.F,0.52
266,Br.Br.Br.C.Cl.F.N.O.O,Br.C.Cl.F.N.O,0.79
267,C.C.Cl.Cl.Cl.Cl.N.N.O.O,Br.C.C.F.F.N,0.64
268,C.O,Br.Br.C.C.Cl.Cl.N.N.O.O,0.91
269,C.F,C.C.C.C.F,0.71
270,C.O.O,C.C.F.N.O.O,0.99
271,Br.Br.Br.C.C.N.O,Br.Br.Br.Br.C.C.Cl.F.N,0.62
272,C.C.C.F.O,C.F,0.75
273,C.C.N,C.O,0.57
274,C.F.F,Br.Br.C.Cl.Cl.Cl.F.F.N.O,0.58
275,C.C.F.F.N,C.C.C.F.N,0.77
276,Br.Br.C.C.Cl.F,Br.C,0.52
277,Br.C.N.N,C.C.N.N.N.N.N,0.73
278,C.C.C.C,Br.Br.C.C.N.N.O.O.O.O,0.8
279,Br.Br.Br.Br.C.F.N.O.O,C.C.Cl.Cl.Cl.F.O,0.77
280,C.C.N.O,C.C.C.Cl.Cl.F.O.O.O,0.66
281,Br.C.Cl.Cl.F.N.O,C.Cl.Cl.F,0.61
282,C.C.Cl.N.O,C.F.N,0.65
283,Br.C.C.F.F.N,Br.C.O,0.94
284,C.C.C.O.O,C.C.Cl.Cl.Cl.Cl,0.72
285,C.N.N,Br.C.C,0.67
286,C.C.N,Br.C.C.F.O,0.56
287,C.C.F.F.O.O.O,Br.C.C.Cl.F.O,0.63
288,C.C.Cl.Cl.Cl.Cl.F.N.N.O,C.Cl.O,0.73
289,C.F,C.C.C.F.N.O,0.7
290,Br.C.Cl.F.O,Br.C,0.77
291,C.F.N.O,Br.C.C.Cl.F.N.O,0.93
292,Br.C.C.F.F.N.O.O.O.O,Br.C.F.N.O,0.57
293,Br.C.C.C.Cl.N.N.O,C.C.F.F,0.61
294,Br.C.N.O.O.O.O,Br.C.F.O.O,0.88
295,Br.Br.C.Cl.N.O,Br.Br.Br.C.C.Cl.Cl.F.O,0.59
296,C.C.F.O,C.Cl.Cl.Cl.F.N.N.N.N.O,0.87
297,C.C.Cl.F.N,C.C.F.N.O.O,0.97
298,C.F.F.N.N.N,Br.C.C.C.Cl.Cl.F.F.N,0.93
299,Br.Br.C.O,C.Cl.Cl.F.F.N.N.N.O,0.89
300,C.C.Cl,Br.C,0.86
301,C.C.F.N.O,C.Cl.Cl.N.O,0.97
302,Br.C.C.Cl.F.F.N,Br.C.C.F.N.O.O,0.87
303,Br.Br.C.C.C.C.N.N,C.C.O,0.93
304,Br.C.C.Cl.N,C.F,0.63
305,Br.Br.C.Cl.Cl.Cl.F.F.O.O,Br.C.Cl.Cl.F.F.O,0.59
306,Br.C.C.F.N.O.O.O,Br.Br.Br.Br.Br.C.C.C.F.O,0.6
307,Br.C.Cl.Cl.F.N.O,Br.C.C.C.C.Cl.F.F.N,0.89
308,C.C.C.Cl.F.N.O.O.O,C.F,0.59
309,Br.C.C.Cl.Cl.F.F.N.O.O,Br.C.C.Cl.O.O,0.62
310,C.C,C.C.Cl.F.O,0.82
311,Br.C.Cl.Cl.F.F.N.N.N.O,C.C.Cl.Cl.F.F.N.N,0.63
312,C.C.C.Cl.Cl.Cl.F.N.N.O,Br.C.C.F.F.F.N.N.O.O,0.53
313,C.Cl.F,Br.C.C.C.Cl.F.N.N.N,0.51
314,Br.C.F.F.N.N.O.O,Br.Br.C.C.C.Cl.F.F.O.O,0.66
315,Br.C.C.C.F.F.N,C.C.F.N.O,0.73
316,C.C.Cl.F.F,Br.Br.C.F.N,0.73
317,Br.C.C.Cl.F.F.O,Br.Br.C.C.C.C.Cl.N.N.N,0.75
318,C.O,C.C.C.Cl.F.N.O,0.74
319,C.C.Cl,Br.Br.C.C.F.F.F.N.O.O,0.79
320,Br.C.C.F.N,Br.C.Cl.F.F.N.O.O,0.79
321,Br.C.Cl.Cl.F.N.N.N.O.O,C.C.Cl.Cl.F.F.N.O,0.7
322,C.F.F.F.N.N.O,Br.Br.Br.Br.C.Cl.F.N,0.98
323,C.F,Br.C.C.Cl.N,0.88
324,Br.C.N.O.O,Br.C.Cl.N.O,0.99
325,Br.C.C.Cl.Cl.Cl.Cl.N.O,C.C.F,0.62
326,Br.C.F,Br.C.C.Cl.Cl.Cl.F.O,0.64
327,Br.C.Cl.F.F.F.N,C.F,0.61
328,C.C.Cl.O,C.C.Cl,0.69
329,C.F.N.N,Br.Br.C.C.Cl.F.N.N,0.66
330,Br.C.C.C.C.Cl.Cl.F,Br.C.C.C.F.N.N.N.N,0.56
331,Br.C.C.Cl.F.N.N.N,Br.Br.C.C.C.C.Cl.N.N,0.99
332,Br.C.C.C.Cl.F.N.N.N.O,Br.C.O.O,0.86
333,C.Cl.Cl.Cl.F.O,Br.C.C.N,0.85
334,Br.Br.C.C.C.Cl.Cl.F.F.O,C.Cl.Cl,0.69
335,Br.C.C.F.F.N,C.Cl,0.94
336,C.F.O,C.Cl.Cl.Cl.F.F.N,0.74
337,Br.C,Br.Br.Br.C.C.Cl.F.F.O,0.57
338,Br.C.C.Cl.F.F.N.O,Br.C,0.89
339,Br.C.N.N,C.C.Cl.F.F.F.N.N,0.63
340,Br.Br.C.C.Cl.F.N.O.O,Br.Br.C.C.C.N.O,0.55
341,C.N,C.Cl.Cl.F.N.O,0.65
342,Br.C.C.Cl.F.F.N.O.O.O,C.C,0.92
343,C.C.Cl.F.N.N.O,C.Cl.Cl.Cl.N.N.N.O,0.78
344,Br.C.O,C.C.C.F.F.F.F.N,0.57
345,Br.C.N.N.O.O.O,Br.C.C.C.C.Cl.Cl.Cl.O.O,0.88
346,C.N,C.F,0.75
347,C.C.C.Cl.Cl.F,Br.C.C.C.F.F.N.N.O,0.68
348,Br.Br.C.Cl.Cl.N.N.O,Br.Br.C.N.O,0.56
349,C.N,C.F,0.55
350,Br.C.C.C.F.N.N.N.O.O,C.O,0.56
351,Br.Br.C.C.N,Br.C.C.C.Cl.N.O.O.O,0.56
352,Br.C.C.C.Cl.F.N.N.O,C.Cl.F.N.N,0.57
353,C.C,Br.C.C.C.Cl.F.N.N.O,0.72
354,C.C.C.Cl.Cl.F.F,Br.Br.Br.C.Cl.F.F.F,0.74
355,C.C.Cl.F,Br.Br.Br.C.Cl.F.N.N.O.O,0.72
356,C.Cl.F,C.C.Cl.F.O,0.78
357,Br.C.F.N.N.N.O,C.N,0.78
358,Br.Br.Br.C.C.C.C.F.N.O,Br.C.C.C.C.C.Cl.F.F.O,0.84
359,Br.Br.C.C.C.C.C.F.N.N,Br.Br.C.C.C.Cl.Cl.F.N.O,0.99
360,C.Cl.O,C.C.C.Cl.F.F.F.N.O,0.53
361,Br.Br.C.F.N,C.F,0.92
362,Br.Br.C.Cl.Cl.N.O,Br.C.N,0.55
363,C.Cl.Cl.F.F.N.O,Br.C.C,0.87
364,Br.C.Cl,C.C.C.F,0.76
365,Br.C.Cl,C.Cl.O,0.93
366,C.C.F.F.N,Br.C,0.81
367,Br.Br.C.C.F.F.N.O,Br.C.C.Cl.N.N.N.O.O,0.52
368,Br.C.C.Cl.F.N,C.Cl.N,0.52
369,C.C.Cl.Cl.N.N.N,C.C.Cl,0.91
370,Br.C.C.C.C.F.O,Br.Br.C.Cl.N,0.95
371,C.C.Cl.Cl.Cl.F.N.O,C.Cl.F.O,0.71
372,Br.Br.C.C.Cl.F.F.O.O,Br.Br.C.Cl.N,0.92
373,C.C.Cl.Cl,C.Cl.F.N.N,0.84
374,Br.C.C.F.F.N.O.O.O,Br.C.C.C.F.O.O,0.99
375,C.C.Cl.F,C.C.Cl,0.82
376,C.Cl.Cl.Cl.Cl.F.F,C.C.Cl,0.92
377,C.F.F.F.O,C.C.F.N,0.83
378,C.C.Cl.Cl.N.N.O,C.Cl.Cl.O,0.79
379,Br.C.N.O.O,Br.Br.C.Cl.F.F.F.N.O,0.87
380,C.O,Br.C.C.C.C.Cl.O.O,0.86
381,Br.C.Cl.O,Br.C.Cl.Cl.Cl.F.N.N.O,0.5
382,Br.Br.Br.C.C.C.Cl.F.N,Br.C.Cl.N,0.8
383,C.C,C.C.C.C.Cl.F.N.O,0.99
384,C.C.F.N.N.O.O,C.C.Cl.N,0.79
385,C.C.Cl.F.N.N.O,Br.Br.C.Cl.Cl.Cl.Cl.O.O.O,0.77
386,C.F.N,Br.Br.C.Cl.Cl.F,0.84
387,C.C.C,Br.Br.C.C.Cl.F.F.N,0.58
388,C.C,Br.Br.C.C.F.F.O.O.O.O,0.9
389,C.Cl.F.F,C.Cl.N.O,0.69
390,C.C.C.C.F.F.N.N.O,Br.C.Cl.F.F.N.O.O.O.O,0.99
391,Br.C.Cl,C.C.Cl.F.F,1.0
392,Br.C.C.C.Cl.F.F.O.O,C.C,0.81
393,Br.C.Cl.F.F.F.F.O.O.O,Br.Br.C.C.C.F.F.F.N,0.53
394,C.Cl.F,Br.C.C.C,0.52
395,C.Cl.Cl.F.N.N,C.C.C.F.F.F.O,0.65
396,Br.Br.C.C.C.F.N.O.O.O,Br.C.Cl.Cl.N.N.O.O,0.78
397,Br.C.C.C.F.N.O,Br.C.Cl,0.82
398,C.C.Cl.F.F.F.O,C.C.N.O,0.57
399,C.C,Br.Br.C.C.C.F.F.O,0.95
400,Br.C.F.F.O.O,Br.C.Cl.Cl.F.F.N,0.83
401,Br.C.C.C.O,Br.C,0.69
